                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.0444,                 1.0038,                 1.1905,                0.87854,                0.72564,                0.77945,                0.59687,                0.91634,                0.65678,                 1.0261,               0.006238,               0.006238,               0.006238
                    117,                 1.0486,                 1.0126,                  1.192,                0.87529,                0.72806,                0.77987,                  0.597,                0.91573,                0.65644,                 1.0257,               0.006205,               0.006205,               0.006205
                    118,                 1.0371,                 1.0022,                 1.1852,                0.87263,                 0.7293,                 0.7803,                0.59685,                0.91545,                0.65603,                 1.0255,               0.006172,               0.006172,               0.006172
                    119,                 1.0399,                 1.0023,                 1.1862,                0.87391,                0.73087,                0.78063,                0.59731,                0.91523,                0.65525,                 1.0257,               0.006139,               0.006139,               0.006139
                    120,                 1.0447,                 1.0065,                 1.1871,                0.87384,                0.73076,                0.78067,                0.59732,                0.91471,                0.65523,                 1.0254,               0.006106,               0.006106,               0.006106
                    121,                 1.0418,                0.99958,                  1.187,                0.86673,                0.73475,                0.78113,                0.59726,                0.91407,                0.65442,                 1.0252,               0.006073,               0.006073,               0.006073
                    122,                 1.0349,                0.99448,                 1.1819,                 0.8688,                0.73504,                0.78143,                0.59814,                0.91357,                0.65351,                 1.0249,                0.00604,                0.00604,                0.00604
                    123,                 1.0299,                0.98529,                 1.1769,                0.86969,                0.73315,                0.78115,                0.59773,                0.91292,                0.65289,                 1.0248,               0.006007,               0.006007,               0.006007
                    124,                 1.0324,                0.98573,                 1.1794,                0.87153,                0.73184,                0.78096,                0.59778,                 0.9125,                0.65233,                 1.0248,               0.005974,               0.005974,               0.005974
                    125,                 1.0365,                0.99767,                 1.1828,                 0.8818,                0.72727,                0.78189,                0.59826,                0.91228,                0.65236,                 1.0247,               0.005941,               0.005941,               0.005941
                    126,                 1.0227,                0.97448,                 1.1704,                0.87916,                0.72841,                0.78184,                0.59845,                0.91152,                0.65128,                 1.0246,               0.005908,               0.005908,               0.005908
